% time dataX[1] dataX[2]
0 0 1
0.01 0.00999983 0.99995
0.02 0.0199987 0.9998
0.03 0.0299955 0.99955
0.04 0.0399893 0.9992
0.05 0.0499792 0.99875
0.06 0.059964 0.998201
0.07 0.0699428 0.997551
0.08 0.0799147 0.996802
0.09 0.0898785 0.995953
0.1 0.0998334 0.995004
0.11 0.109778 0.993956
0.12 0.119712 0.992809
0.13 0.129634 0.991562
0.14 0.139543 0.990216
0.15 0.149438 0.988771
0.16 0.159318 0.987227
0.17 0.169182 0.985585
0.18 0.17903 0.983844
0.19 0.188859 0.982004
0.2 0.198669 0.980067
0.21 0.20846 0.978031
0.22 0.21823 0.975897
0.23 0.227978 0.973666
0.24 0.237703 0.971338
0.25 0.247404 0.968912
0.26 0.257081 0.96639
0.27 0.266731 0.963771
0.28 0.276356 0.961055
0.29 0.285952 0.958244
0.3 0.29552 0.955336
0.31 0.305059 0.952334
0.32 0.314567 0.949235
0.33 0.324043 0.946042
0.34 0.333487 0.942755
0.35 0.342898 0.939373
0.36 0.352274 0.935897
0.37 0.361615 0.932327
0.38 0.37092 0.928665
0.39 0.380188 0.924909
0.4 0.389418 0.921061
0.41 0.398609 0.917121
0.42 0.40776 0.913089
0.43 0.416871 0.908966
0.44 0.425939 0.904752
0.45 0.434966 0.900447
0.46 0.443948 0.896052
0.47 0.452886 0.891568
0.48 0.461779 0.886995
0.49 0.470626 0.882333
0.5 0.479426 0.877583
0.51 0.488177 0.872745
0.52 0.49688 0.867819
0.53 0.505533 0.862807
0.54 0.514136 0.857709
0.55 0.522687 0.852525
0.56 0.531186 0.847255
0.57 0.539632 0.841901
0.58 0.548024 0.836463
0.59 0.556361 0.830941
0.6 0.564642 0.825336
0.61 0.572867 0.819648
0.62 0.581035 0.813878
0.63 0.589145 0.808028
0.64 0.597195 0.802096
0.65 0.605186 0.796084
0.66 0.613117 0.789992
0.67 0.620986 0.783822
0.68 0.628793 0.777573
0.69 0.636537 0.771246
0.7 0.644218 0.764842
0.71 0.651834 0.758362
0.72 0.659385 0.751806
0.73 0.66687 0.745174
0.74 0.674288 0.738469
0.75 0.681639 0.731689
0.76 0.688921 0.724836
0.77 0.696135 0.717911
0.78 0.703279 0.710914
0.79 0.710353 0.703845
0.8 0.717356 0.696707
0.81 0.724287 0.689498
0.82 0.731146 0.682221
0.83 0.737931 0.674876
0.84 0.744643 0.667463
0.85 0.75128 0.659983
0.86 0.757843 0.652437
0.87 0.764329 0.644827
0.88 0.770739 0.637151
0.89 0.777072 0.629412
0.9 0.783327 0.62161
0.91 0.789504 0.613746
0.92 0.795602 0.60582
0.93 0.80162 0.597834
0.94 0.807558 0.589788
0.95 0.813416 0.581683
0.96 0.819192 0.57352
0.97 0.824886 0.5653
0.98 0.830497 0.557023
0.99 0.836026 0.54869
1 0.841471 0.540302
1.01 0.846832 0.531861
1.02 0.852108 0.523366
1.03 0.857299 0.514819
1.04 0.862404 0.50622
1.05 0.867423 0.497571
1.06 0.872355 0.488872
1.07 0.877201 0.480124
1.08 0.881958 0.471328
1.09 0.886627 0.462485
1.1 0.891207 0.453596
1.11 0.895699 0.444662
1.12 0.9001 0.435682
1.13 0.904412 0.42666
1.14 0.908633 0.417595
1.15 0.912764 0.408487
1.16 0.916803 0.39934
1.17 0.920751 0.390152
1.18 0.924606 0.380925
1.19 0.928369 0.37166
1.2 0.932039 0.362358
1.21 0.935616 0.353019
1.22 0.939099 0.343646
1.23 0.942489 0.334238
1.24 0.945784 0.324796
1.25 0.948985 0.315322
1.26 0.95209 0.305817
1.27 0.955101 0.296281
1.28 0.958016 0.286715
1.29 0.960835 0.277121
1.3 0.963558 0.267499
1.31 0.966185 0.25785
1.32 0.968715 0.248175
1.33 0.971148 0.238476
1.34 0.973485 0.228753
1.35 0.975723 0.219007
1.36 0.977865 0.209239
1.37 0.979908 0.19945
1.38 0.981854 0.189641
1.39 0.983701 0.179813
1.4 0.98545 0.169967
1.41 0.9871 0.160104
1.42 0.988652 0.150225
1.43 0.990105 0.140332
1.44 0.991458 0.130424
1.45 0.992713 0.120503
1.46 0.993868 0.11057
1.47 0.994924 0.100626
1.48 0.995881 0.0906716
1.49 0.996738 0.0807084
1.5 0.997495 0.0707372
1.51 0.998152 0.0607589
1.52 0.99871 0.0507745
1.53 0.999168 0.040785
1.54 0.999526 0.0307915
1.55 0.999784 0.0207948
1.56 0.999942 0.0107961
1.57 1 0.000796327
1.58 0.999958 -0.00920354
1.59 0.999816 -0.0192025
1.6 0.999574 -0.0291995
1.61 0.999232 -0.0391936
1.62 0.99879 -0.0491838
1.63 0.998248 -0.0591691
1.64 0.997606 -0.0691484
1.65 0.996865 -0.0791209
1.66 0.996024 -0.0890854
1.67 0.995083 -0.099041
1.68 0.994043 -0.108987
1.69 0.992904 -0.118922
1.7 0.991665 -0.128844
1.71 0.990327 -0.138755
1.72 0.98889 -0.148651
1.73 0.987354 -0.158532
1.74 0.985719 -0.168397
1.75 0.983986 -0.178246
1.76 0.982154 -0.188077
1.77 0.980224 -0.197889
1.78 0.978197 -0.207681
1.79 0.976071 -0.217452
1.8 0.973848 -0.227202
